query,expected_attack_type,method,backend,k,rank,doc_id,retrieved_attack_type,is_relevant,status,sentence_bert_model,faiss_enabled,description_naturelle,log_example,snort_rule_reference
Détecter une injection SQL UNION SELECT dans une URL HTTP,sql_injection,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,5,SNORT-P1-0060,sql_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Find this behavior: an SQL injection attempt in a web request carrying payload cast((select. Watch for cast((select.,"2026/05/25 10:19:02 [warn] waf: client=192.0.2.59 host=shop.local uri=""/search?q=cast((select"" msg=""SQL keyword detected"" status=403 proto=HTTPS","alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""P1 SQL injection payload 20""; flow:to_server,established; content:""cast((select""; nocase; classtype:web-application-attack; sid:9100060; rev:1;)"
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,1,SNORT-P1-0061,xss,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection xss: a reflected XSS probe containing <script>alert(1)</script> in a web parameter. Mot clé observé: <script>alert(1)</script>.,"203.0.113.60 - - [25/May/2026:11:00:22 +0000] ""GET /comment?text=<script>alert(1)</script> HTTP/1.1"" 200 421 ""https://forum.local/thread/7"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 XSS payload marker 1""; flow:to_server,established; content:""<script>alert(1)</script""; nocase; pcre:""/\<script\>alert(1)\<\/script\>/i""; classtype:web-application-attack; sid:9100061; rev:1;)"
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,2,SNORT-P1-0073,xss,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,SOC note: investigate a reflected XSS probe containing <svg><script>alert(7)</script> in a web parameter; correlate repeated events and keyword <svg><script>alert(7)</script>.,"203.0.113.72 - - [25/May/2026:11:12:22 +0000] ""GET /comment?text=<svg><script>alert(7)</script> HTTP/1.1"" 200 421 ""https://forum.local/thread/7"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 XSS payload marker 13""; flow:to_server,established; content:""<svg><script>alert(7)</s""; nocase; pcre:""/\<svg\>\<script\>alert(7)\<\/script\>/i""; classtype:web-application-attack; sid:9100073; rev:1"
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,3,SNORT-P1-0071,xss,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,"Need a detection entry for a reflected XSS probe containing <script>fetch(""/x"")</script> in a web parameter; the critical observable is <script>fetch(""/x"")</script>.","203.0.113.70 - - [25/May/2026:11:10:22 +0000] ""GET /comment?text=<script>fetch(""/x"")</script> HTTP/1.1"" 200 421 ""https://forum.local/thread/7"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""P1 XSS payload marker 11""; flow:to_server,established; content:""<script>fetch(""/x"")</scr""; nocase; pcre:""/\<script\>fetch(""\/x"")\<\/script\>/i""; classtype:web-application-attack; sid:9100071; rev:1;)"
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,4,SNORT-P1-0066,xss,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect a reflected XSS probe containing <iframe src=javascript:alert(1)> in a web parameter <iframe src=javascript:alert(1)>,"2026-05-25T11:05:22Z proxy event src=203.0.113.65 dst=10.20.0.15 proto=TCP uri=""/feedback?msg=<iframe src=javascript:alert(1)>"" note=""reflected xss marker""","alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""P1 XSS payload marker 6""; flow:to_server,established; content:""<iframe src""; nocase; pcre:""/\<iframe src=javascript:alert(1)\>/i""; classtype:web-application-attack; sid:9100066; rev:1;)"
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,5,SNORT-P1-0074,xss,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect a reflected XSS probe containing <div onmouseover=alert(3)> in a web parameter <div onmouseover=alert(3)>,"2026-05-25T11:13:22Z proxy event src=203.0.113.73 dst=10.20.0.23 proto=HTTPS uri=""/feedback?msg=<div onmouseover=alert(3)>"" note=""reflected xss marker""","alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""P1 XSS payload marker 14""; flow:to_server,established; content:""<div onmouseover""; nocase; pcre:""/\<div onmouseover=alert(3)\>/i""; classtype:web-application-attack; sid:9100074; rev:1;)"
Detect command injection with cmd parameter and whoami in HTTP request,command_injection,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,1,SNORT-P1-0087,command_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Incident detail: a command injection attempt using payload && bash -c whoami in a web-exposed parameter. Multiple traces suggest the token && bash -c whoami and repeated network activity in the logs.,"2026-05-25T12:06:55Z waf alert src=198.51.100.86 dst=10.30.0.16 uri=""/cgi-bin/admin?cmd=&& bash -c whoami"" action=blocked signature=command_injection proto=HTTP","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Command injection payload 7""; flow:to_server,established; content:""&& bash -c whoami""; nocase; classtype:web-application-attack; sid:9100087; rev:1;)"
Detect command injection with cmd parameter and whoami in HTTP request,command_injection,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,2,SNORT-P1-0099,command_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Need a detection entry for a command injection attempt using payload |cmd.exe /c whoami in a web-exposed parameter; the critical observable is |cmd.exe /c whoami.,"2026-05-25T12:18:55Z waf alert src=198.51.100.98 dst=10.30.0.28 uri=""/cgi-bin/admin?cmd=|cmd.exe /c whoami"" action=blocked signature=command_injection proto=HTTP","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Command injection payload 19""; flow:to_server,established; content:""|cmd.exe /c whoami""; nocase; classtype:web-application-attack; sid:9100099; rev:1;)"
Detect command injection with cmd parameter and whoami in HTTP request,command_injection,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,3,SNORT-P1-0094,command_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect a command injection attempt using payload ; ping -c 1 198.51.100.8 in a web-exposed parameter ; ping -c 1 198.51.100.8,"198.51.100.93 - - [25/May/2026:12:13:55 +0000] ""POST /tools/run HTTP/1.1"" 500 921 ""-"" ""curl/8.0"" body=""name=test; ping -c 1 198.51.100.8""","alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""P1 Command injection payload 14""; flow:to_server,established; content:""; ping -c 1 198.51.100.8""; nocase; classtype:web-application-attack; sid:9100094; rev:1;)"
Detect command injection with cmd parameter and whoami in HTTP request,command_injection,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,4,SNORT-P1-0086,command_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect a command injection attempt using payload ; powershell -enc AAAA in a web-exposed parameter ; powershell -enc AAAA,"198.51.100.85 - - [25/May/2026:12:05:55 +0000] ""POST /tools/run HTTP/1.1"" 500 921 ""-"" ""curl/8.0"" body=""name=test; powershell -enc AAAA""","alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""P1 Command injection payload 6""; flow:to_server,established; content:""; powershell -enc AAAA""; nocase; classtype:web-application-attack; sid:9100086; rev:1;)"
Detect command injection with cmd parameter and whoami in HTTP request,command_injection,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,5,SNORT-P1-0095,command_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Incident detail: a command injection attempt using payload cmd=dir in a web-exposed parameter. Multiple traces suggest the token cmd=dir and repeated network activity in the logs.,"2026-05-25T12:14:55Z waf alert src=198.51.100.94 dst=10.30.0.24 uri=""/cgi-bin/admin?cmd=cmd=dir"" action=blocked signature=command_injection proto=TCP","alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""P1 Command injection payload 15""; flow:to_server,established; content:""cmd=dir""; nocase; classtype:web-application-attack; sid:9100095; rev:1;)"
Alert when someone tries ../../../../etc/passwd directory traversal,directory_traversal,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,1,SNORT-P1-0101,directory_traversal,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection directory traversal: a directory traversal request referencing ../../../../etc/passwd. Mot clé observé: ../../../../etc/passwd.,"203.0.113.100 - - [25/May/2026:13:00:40 +0000] ""GET ../../../../etc/passwd HTTP/1.1"" 404 210 ""-"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Directory traversal attempt 1""; flow:to_server,established; content:""../""; nocase; pcre:""/(\.\.|%2f|win\.ini|passwd)/i""; classtype:web-application-attack; sid:9100101; rev:1;)"
Alert when someone tries ../../../../etc/passwd directory traversal,directory_traversal,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,2,SNORT-P1-0119,directory_traversal,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Need a detection entry for a directory traversal request referencing /help?lang=../../../../etc/passwd; the critical observable is /help?lang=../../../../etc/passwd.,"203.0.113.118 - - [25/May/2026:13:18:40 +0000] ""GET /help?lang=../../../../etc/passwd HTTP/1.1"" 404 210 ""-"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Directory traversal attempt 19""; flow:to_server,established; content:""../""; nocase; pcre:""/(\.\.|%2f|win\.ini|passwd)/i""; classtype:web-application-attack; sid:9100119; rev:1;)"
Alert when someone tries ../../../../etc/passwd directory traversal,directory_traversal,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,3,SNORT-P1-0107,directory_traversal,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Incident detail: a directory traversal request referencing /cgi-bin/../../../../etc/shadow. Multiple traces suggest the token /cgi-bin/../../../../etc/shadow and repeated network activity in the logs.,"203.0.113.106 - - [25/May/2026:13:06:40 +0000] ""GET /cgi-bin/../../../../etc/shadow HTTP/1.1"" 404 210 ""-"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Directory traversal attempt 7""; flow:to_server,established; content:""../""; nocase; pcre:""/(\.\.|%2f|win\.ini|passwd)/i""; classtype:web-application-attack; sid:9100107; rev:1;)"
Alert when someone tries ../../../../etc/passwd directory traversal,directory_traversal,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,4,SNORT-P1-0115,directory_traversal,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Incident detail: a directory traversal request referencing /image?src=../../../../etc/hosts. Multiple traces suggest the token /image?src=../../../../etc/hosts and repeated network activity in the logs.,"203.0.113.114 - - [25/May/2026:13:14:40 +0000] ""GET /image?src=../../../../etc/hosts HTTP/1.1"" 404 210 ""-"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""P1 Directory traversal attempt 15""; flow:to_server,established; content:""../""; nocase; pcre:""/(\.\.|%2f|win\.ini|passwd)/i""; classtype:web-application-attack; sid:9100115; rev:1;)"
Alert when someone tries ../../../../etc/passwd directory traversal,directory_traversal,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,5,SNORT-P1-0106,directory_traversal,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect a directory traversal request referencing /static/../../admin.env /static/../../admin.env,"2026-05-25T13:05:40Z nginx access src=203.0.113.105 host=portal.local uri=""/static/../../admin.env"" status=403 note=""directory traversal pattern"" proto=TCP","alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 (msg:""P1 Directory traversal attempt 6""; flow:to_server,established; content:""../""; nocase; pcre:""/(\.\.|%2f|win\.ini|passwd)/i""; classtype:web-application-attack; sid:9100106; rev:1;)"
Detect DNS tunneling using long encoded subdomains,dns_tunneling,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,1,SNORT-P1-0126,dns_tunneling,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect DNS tunneling behavior with long subdomain query db-archive-zip-05.segment2.data.exfil.example.com long subdomain,"2026-05-25T14:05:18Z zeek_dns uid=DNS005 id.orig_h=10.40.2.25 id.resp_h=8.8.4.4 proto=DNS query=""db-archive-zip-05.segment2.data.exfil.example.com"" qtype_name=TXT len=83 warning=""dns tunneling suspicion""","alert dns $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 DNS tunneling long query 6""; content:""segment""; nocase; dsize:>70; classtype:trojan-activity; sid:9100126; rev:1;)"
Detect DNS tunneling using long encoded subdomains,dns_tunneling,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,2,SNORT-P1-0134,dns_tunneling,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect DNS tunneling behavior with long subdomain query dnswrap-session-13.segment2.data.exfil.example.com long subdomain,"2026-05-25T14:13:18Z zeek_dns uid=DNS013 id.orig_h=10.40.1.33 id.resp_h=8.8.4.4 proto=UDP query=""dnswrap-session-13.segment2.data.exfil.example.com"" qtype_name=TXT len=91 warning=""dns tunneling suspicion""","alert udp $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 DNS tunneling long query 14""; content:""segment""; nocase; dsize:>70; classtype:trojan-activity; sid:9100134; rev:1;)"
Detect DNS tunneling using long encoded subdomains,dns_tunneling,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,3,SNORT-P1-0121,dns_tunneling,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection dns tunneling: DNS tunneling behavior with long subdomain query a9d3-sync-node-00.segment1.data.exfil.example.com. Mot clé observé: long subdomain.,1716812000.44 DNS a9d3-sync-node-00.segment1.data.exfil.example.com qtype=TXT src=10.40.0.20 dst=8.8.8.8 answers=0 note=long subdomain base64 burst,"alert dns $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 DNS tunneling long query 1""; content:""segment""; nocase; dsize:>70; classtype:trojan-activity; sid:9100121; rev:1;)"
Detect DNS tunneling using long encoded subdomains,dns_tunneling,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,4,SNORT-P1-0129,dns_tunneling,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection dns tunneling: DNS tunneling behavior with long subdomain query finance-ledger-part-08.segment1.data.exfil.example.com. Mot clé observé: long subdomain.,1716812008.44 DNS finance-ledger-part-08.segment1.data.exfil.example.com qtype=TXT src=10.40.2.28 dst=8.8.8.8 answers=0 note=long subdomain base64 burst,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 DNS tunneling long query 9""; content:""segment""; nocase; dsize:>70; classtype:trojan-activity; sid:9100129; rev:1;)"
Detect DNS tunneling using long encoded subdomains,dns_tunneling,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,5,SNORT-P1-0137,dns_tunneling,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection dns tunneling: DNS tunneling behavior with long subdomain query policy-pack-blob-16.segment1.data.exfil.example.com. Mot clé observé: long subdomain.,1716812016.44 DNS policy-pack-blob-16.segment1.data.exfil.example.com qtype=TXT src=10.40.1.36 dst=8.8.8.8 answers=0 note=long subdomain base64 burst,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 DNS tunneling long query 17""; content:""segment""; nocase; dsize:>70; classtype:trojan-activity; sid:9100137; rev:1;)"
Detect ICMP ping sweep against internal network,icmp_sweep,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,1,SNORT-P1-0094,command_injection,False,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect a command injection attempt using payload ; ping -c 1 198.51.100.8 in a web-exposed parameter ; ping -c 1 198.51.100.8,"198.51.100.93 - - [25/May/2026:12:13:55 +0000] ""POST /tools/run HTTP/1.1"" 500 921 ""-"" ""curl/8.0"" body=""name=test; ping -c 1 198.51.100.8""","alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""P1 Command injection payload 14""; flow:to_server,established; content:""; ping -c 1 198.51.100.8""; nocase; classtype:web-application-attack; sid:9100094; rev:1;)"
Detect ICMP ping sweep against internal network,icmp_sweep,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,2,SNORT-P1-0154,icmp_sweep,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect an ICMP sweep targeting 10.3.6.11-10.3.6.26 with multiple hosts contacted rapidly multiple hosts,1716818013.77 ICMP_SCAN src=198.51.100.153 dst_range=10.3.6.11-10.3.6.26 proto=ICMP icmp_type=8 multiple hosts=7 status=sweep,"alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 ICMP sweep repeated echo requests 14""; dsize:>40; detection_filter:track by_src,count 7,seconds 5; classtype:attempted-recon; sid:9100154; rev:1;)"
Detect ICMP ping sweep against internal network,icmp_sweep,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,3,SNORT-P1-0146,icmp_sweep,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect an ICMP sweep targeting 192.168.1.1-192.168.1.20 with multiple hosts contacted rapidly multiple hosts,1716818005.77 ICMP_SCAN src=198.51.100.145 dst_range=192.168.1.1-192.168.1.20 proto=ICMP icmp_type=8 multiple hosts=7 status=sweep,"alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 ICMP sweep repeated echo requests 6""; dsize:>40; detection_filter:track by_src,count 7,seconds 5; classtype:attempted-recon; sid:9100146; rev:1;)"
Detect ICMP ping sweep against internal network,icmp_sweep,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,4,SNORT-P1-0155,icmp_sweep,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Incident detail: an ICMP sweep targeting 10.4.7.15-10.4.7.35 with multiple hosts contacted rapidly. Multiple traces suggest the token multiple hosts and repeated network activity in the logs.,2026-05-25T15:14:09Z icmp sweep src=198.51.100.154 targets=10.4.7.15-10.4.7.35 type=echo-request count=12 note=multiple hosts in 5s,"alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 ICMP sweep repeated echo requests 15""; dsize:>40; detection_filter:track by_src,count 8,seconds 5; classtype:attempted-recon; sid:9100155; rev:1;)"
Detect ICMP ping sweep against internal network,icmp_sweep,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,5,SNORT-P1-0157,icmp_sweep,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection icmp sweep: an ICMP sweep targeting 10.7.2.9-10.7.2.15 with multiple hosts contacted rapidly. Mot clé observé: multiple hosts.,2026-05-25T15:16:09Z icmp sweep src=198.51.100.156 targets=10.7.2.9-10.7.2.15 type=echo-request count=9 note=multiple hosts in 5s,"alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 ICMP sweep repeated echo requests 17""; dsize:>40; detection_filter:track by_src,count 6,seconds 5; classtype:attempted-recon; sid:9100157; rev:1;)"
Detect malware command and control beacon to /gate.php,malware_c2,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,1,SNORT-P1-0162,malware_c2,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Je veux repérer periodic malware C2 beaconing to /gate.php over port 80 avec l'indice periodic beacon.,"10.50.0.11 - - [25/May/2026:16:01:31 +0000] ""POST /gate.php HTTP/1.1"" 200 64 ""-"" ""svc-update/1.0"" comment=""c2 heartbeat""","alert tcp $HOME_NET any -> $EXTERNAL_NET 80 (msg:""P1 Malware C2 beacon 2""; flow:to_server,established; content:""/gate.php""; nocase; detection_filter:track by_src,count 4,seconds 300; classtype:trojan-activity; sid:9100162; rev:1;)"
Detect malware command and control beacon to /gate.php,malware_c2,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,2,SNORT-P1-0174,malware_c2,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect periodic malware C2 callback over DNS using query cmd.13.beacon.example.net periodic beacon,"2026-05-25T16:13:31Z zeek_dns uid=C2013 id.orig_h=10.50.0.23 id.resp_h=203.0.113.200 query=""cmd.13.beacon.example.net"" qtype_name=A note=periodic C2 callback every 120s","alert dns $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 Malware C2 DNS beacon 14""; content:""cmd.""; nocase; dsize:>45; classtype:trojan-activity; sid:9100174; rev:1;)"
Detect malware command and control beacon to /gate.php,malware_c2,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,3,SNORT-P1-0161,malware_c2,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection malware c2: periodic malware C2 beaconing to /beacon over port 443. Mot clé observé: periodic beacon.,"2026-05-25T16:00:31Z proxy src=10.50.0.10 dst=203.0.113.200 proto=HTTPS uri=""/beacon"" interval=120s ua=""svc-update"" note=periodic beacon","alert tcp $HOME_NET any -> $EXTERNAL_NET 443 (msg:""P1 Malware C2 beacon 1""; flow:to_server,established; content:""/beacon""; nocase; detection_filter:track by_src,count 4,seconds 300; classtype:trojan-activity; sid:9100161; rev:1;)"
Detect malware command and control beacon to /gate.php,malware_c2,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,4,SNORT-P1-0166,malware_c2,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Detect periodic malware C2 beaconing to /tasks/poll over port 443 periodic beacon,"10.50.0.15 - - [25/May/2026:16:05:31 +0000] ""POST /tasks/poll HTTP/1.1"" 200 64 ""-"" ""svc-update/1.0"" comment=""c2 heartbeat""","alert tcp $HOME_NET any -> $EXTERNAL_NET 443 (msg:""P1 Malware C2 beacon 6""; flow:to_server,established; content:""/tasks/poll""; nocase; detection_filter:track by_src,count 4,seconds 300; classtype:trojan-activity; sid:9100166; rev:1;)"
Detect malware command and control beacon to /gate.php,malware_c2,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,5,SNORT-P1-0169,malware_c2,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection malware c2: periodic malware C2 callback over DNS using query cmd.8.beacon.example.net. Mot clé observé: periodic beacon.,"2026-05-25T16:08:31Z zeek_dns uid=C2008 id.orig_h=10.50.0.18 id.resp_h=203.0.113.200 query=""cmd.8.beacon.example.net"" qtype_name=A note=periodic C2 callback every 120s","alert dns $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 Malware C2 DNS beacon 9""; content:""cmd.""; nocase; dsize:>45; classtype:trojan-activity; sid:9100169; rev:1;)"
"Normal HTTP health check from the monitoring server, no attack",benign_traffic,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,1,SNORT-P1-0182,benign_traffic,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Je veux repérer ci/cd health check calling /readyz every 30 seconds from the build agent avec l'indice normal activity.,2026-05-25T17:01:11Z access src=10.60.0.11 dst=10.70.0.21 proto=HTTPS dpt=443 note=CI/CD health check calling /readyz every 30 seconds from the build agent status=200 category=benign,NO_RULE_RECOMMENDED
"Normal HTTP health check from the monitoring server, no attack",benign_traffic,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,2,SNORT-P1-0199,benign_traffic,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Need a detection entry for single icmp echo request from the noc dashboard after packet loss alert; the critical observable is normal activity.,2026-05-25T17:18:11Z icmp health src=10.60.0.28 dst=10.70.0.1 type=echo-request count=1 note=Single ICMP echo request from the NOC dashboard after packet loss alert benign monitoring,NO_RULE_RECOMMENDED
"Normal HTTP health check from the monitoring server, no attack",benign_traffic,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,3,SNORT-P1-0185,benign_traffic,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,SOC note: investigate network monitoring sending one icmp echo request every 60 seconds to the router; correlate repeated events and keyword normal activity.,2026-05-25T17:04:11Z icmp health src=10.60.0.14 dst=10.70.0.1 type=echo-request count=1 note=Network monitoring sending one ICMP echo request every 60 seconds to the router benign monitoring,NO_RULE_RECOMMENDED
"Normal HTTP health check from the monitoring server, no attack",benign_traffic,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,4,SNORT-P1-0200,benign_traffic,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Find this behavior: finance report download from the internal portal with valid session cookies. Watch for normal activity.,2026-05-25T17:19:11Z access src=10.60.0.29 dst=10.70.0.39 proto=HTTPS dpt=443 note=Finance report download from the internal portal with valid session cookies status=200 category=benign,NO_RULE_RECOMMENDED
"Normal HTTP health check from the monitoring server, no attack",benign_traffic,hybrid_alpha_0.55,hybrid_tfidf_bm25,5,5,SNORT-P1-0176,malware_c2,False,ready,sentence-transformers/all-MiniLM-L6-v2,False,Triage memo: periodic malware C2 beaconing to /image/check over port 443; analyst highlighted periodic beacon for retrieval and explanation.,"10.50.0.25 - - [25/May/2026:16:15:31 +0000] ""POST /image/check HTTP/1.1"" 200 64 ""-"" ""svc-update/1.0"" comment=""c2 heartbeat""","alert tcp $HOME_NET any -> $EXTERNAL_NET 443 (msg:""P1 Malware C2 beacon 16""; flow:to_server,established; content:""/image/check""; nocase; detection_filter:track by_src,count 4,seconds 300; classtype:trojan-activity; sid:9100176; rev:1;)"
Detect a TCP SYN port scan against our web server with many ports touched in one minute,port_scan,hybrid_alpha_0.75,hybrid_tfidf_bm25,1,1,SNORT-P1-0006,port_scan,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,"Detect a SYN port scan from one external host against ports 8080,8443,9000,9443 on an internal server SYN scan","1716800005.12 C005 198.51.100.15 40055 10.0.1.25 80 tcp S0 scan_ports=ports 8080,8443,9000,9443 msg=sequential SYN scan","alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 Port scan repeated SYN 6""; flags:S; detection_filter:track by_src,count 11,seconds 8; classtype:attempted-recon; sid:9100006; rev:1;)"
Generate a Snort rule for repeated SSH brute force attempts on port 22,ssh_bruteforce,hybrid_alpha_0.75,hybrid_tfidf_bm25,1,1,SNORT-P1-0023,ssh_bruteforce,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Need a detection entry for repeated SSH login failures against account backup on port 22; the critical observable is failed password.,May 25 09:02:14 bastion sshd[2102]: Failed password for backup from 203.0.113.22 port 45002 ssh2 repeated=9,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""P1 SSH brute force repeated login failures 3""; flow:to_server,established; content:""SSH-""; detection_filter:track by_src,count 8,seconds 60; classtype:attempted-admin; sid:9100023; rev:1;)"
Détecter une injection SQL UNION SELECT dans une URL HTTP,sql_injection,hybrid_alpha_0.75,hybrid_tfidf_bm25,1,1,SNORT-P1-0056,sql_injection,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Triage memo: an SQL injection attempt in a web request carrying payload union select null; analyst highlighted union select null for retrieval and explanation.,"2026/05/25 10:15:02 [warn] waf: client=192.0.2.55 host=shop.local uri=""/search?q=union select null"" msg=""SQL keyword detected"" status=403 proto=HTTP","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 SQL injection payload 16""; flow:to_server,established; content:""union select null""; nocase; classtype:web-application-attack; sid:9100056; rev:1;)"
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,hybrid_alpha_0.75,hybrid_tfidf_bm25,1,1,SNORT-P1-0061,xss,True,ready,sentence-transformers/all-MiniLM-L6-v2,False,Détection xss: a reflected XSS probe containing <script>alert(1)</script> in a web parameter. Mot clé observé: <script>alert(1)</script>.,"203.0.113.60 - - [25/May/2026:11:00:22 +0000] ""GET /comment?text=<script>alert(1)</script> HTTP/1.1"" 200 421 ""https://forum.local/thread/7"" ""Mozilla/5.0""","alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 XSS payload marker 1""; flow:to_server,established; content:""<script>alert(1)</script""; nocase; pcre:""/\<script\>alert(1)\<\/script\>/i""; classtype:web-application-attack; sid:9100061; rev:1;)"
